Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
0,1908-09-17,"Fort Myer,Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,Sin Dato,2,1,1,1,1,0,0,1908,Militar,No encontrado
1,1909-09-07,"Juvisy-sur-Orge,France",Otro,Air show,Wright Byplane,SC1,1,0,1,1,0,0,0,1909,Comercial,Sweden
2,1912-07-12,"Atlantic City,New Jersey",Military - U.S. Navy,Test flight,Dirigible,Sin Dato,5,0,5,5,0,5,0,1912,Militar,No encontrado
3,1913-08-06,"Victoria,British Columbia,Canada",Private,Desconocido,Curtiss seaplane,Sin Dato,1,0,1,1,0,1,0,1913,Comercial,No encontrado
6,1915-03-05,"Tienen,Belgium",Military - German Navy,Desconocido,Zeppelin L-8 (airship),Sin Dato,41,0,41,17,0,17,0,1915,Militar,No encontrado
10,1916-10-01,"Potters Bar,England",Military - German Navy,Desconocido,Zeppelin L-31 (airship),Sin Dato,19,0,19,19,0,19,0,1916,Militar,No encontrado
23,1918-12-16,"Elizabeth,New Jersey",US Aerial Mail Service,Desconocido,De Havilland DH-4,97,1,0,1,1,0,1,0,1918,Comercial,No encontrado
24,1919-05-25,"Cleveland,Ohio",US Aerial Mail Service,Desconocido,De Havilland DH-4,61,1,0,1,1,0,1,0,1919,Comercial,No encontrado
25,1919-07-19,"Dix Run,Pennsylvania",US Aerial Mail Service,Desconocido,De Havilland DH-4,82,1,0,1,1,0,1,0,1919,Comercial,No encontrado
26,1919-07-21,"Chicago,Illinois",Wingfoot Air Express Goodyear Tire,Shuttle,FD Type Dirigible,Sin Dato,3,2,1,3,2,1,10,1919,Comercial,No encontrado
27,1919-08-02,"Verona,Italy",Caproni Company,Venice  Taliedo,Caproni Ca.48,Sin Dato,14,12,2,14,12,2,0,1919,Comercial,No encontrado
28,1919-10-02,"Newcastle,England",Aircraft Transport and Travel,Desconocido,De Havilland DH-4,Sin Dato,1,0,1,1,0,1,0,1919,Comercial,No encontrado
29,1919-10-14,"Catonsville,Maryland",US Aerial Mail Service,Desconocido,Curtiss R-4LM,32,1,0,1,1,0,1,0,1919,Comercial,No encontrado
30,1919-10-20,"Folkestone,Kent",Aircraft Transport and Travel,Desconocido,De Havilland DH-4,G-EAHG,0,0,1,0,0,0,0,1919,Comercial,United Kingdom
31,1919-10-30,"Long Valley,New Jersey",US Aerial Mail Service,Desconocido,De Havilland DH.4,77,1,0,1,1,0,1,0,1919,Comercial,No encontrado
32,1919-12-11,"Caterham,Surrey,UK",Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,G-EAHF,1,1,1,1,1,1,0,1919,Comercial,United Kingdom
33,1920-03-10,"New Paris,Indiana",US Aerial Mail Service,Desconocido,De Havilland DH-4,65,1,0,1,1,0,1,0,1920,Comercial,No encontrado
34,1920-03-30,"Newark,New Jersey",US Aerial Mail Service,Washington - Newark,De Havilland DH-4,72,1,0,1,1,0,1,0,1920,Comercial,No encontrado
35,1920-04-10,"Newark,New Jersey",US Aerial Mail Service,Desconocido,Curtiss R-4LM,49,2,1,1,1,0,1,0,1920,Comercial,No encontrado
36,1920-04-11,"Heller Field,New Jersey",US Aerial Mail Service,Desconocido,Curtiss JN-4H,44,2,1,1,1,0,1,0,1920,Comercial,No encontrado
37,1920-05-12,"Oskaloosa,Iowa",US Aerial Mail Service,Desconocido,De Havilland DH-4,79,2,1,1,1,1,0,0,1920,Comercial,No encontrado
38,1920-06-06,"Cleveland,Ohio",US Aerial Mail Service,Desconocido,De Havilland DH-4,204,1,0,1,1,0,1,0,1920,Comercial,Guernsey
39,1920-07-20,"Cartagena,Columbia",Compañia Colombiana de Navegación Aérea,Desconocido,Farman F-40,Sin Dato,1,1,1,1,1,1,0,1920,Comercial,No encontrado
40,1920-08-16,"Bedford,England",By Air,Desconocido,Armstrong-Whitworth F-K-8,G-EALW,1,0,1,1,0,1,0,1920,Comercial,United Kingdom
41,1920-08-16,"College Park,Maryland",US Aerial Mail Service,Desconocido,De Havilland DH-4,317,1,0,1,1,0,1,0,1920,Comercial,No encontrado
42,1920-09-01,"Morristown,New Jersey",US Aerial Mail Service,Desconocido,Junkers JL-6,305,2,0,2,2,0,2,0,1920,Comercial,No encontrado
44,1920-09-27,"Millersburg,Pennsylvania",US Aerial Mail Service,Desconocido,De Havilland DH-4,316,1,0,1,1,0,1,0,1920,Comercial,No encontrado
45,1920-10-02,"Port Vendres,France",Latecoere Airlines,Desconocido,Salmson 2-A-2,F-ALAI,2,1,1,2,1,1,0,1920,Comercial,France
46,1920-10-05,"Valencia,Spain",Latecoere Airlines,Desconocido,Breguet 14,F-ALTA,2,1,1,2,1,1,0,1920,Comercial,France
